dataset = MNIST
model = SortMLPModel(depth=5,width=5120,scalar=True,dropout=0.75,identity_val=10.0)
loss = mixture(lam0=0.02,lam_end=0.0002)
p_start = 8.0
p_end = 1000.0
eps_train = 0.45
eps_test = 0.3
eps_smooth = 0.4
epochs = 0,0,100,1450,1500
decays = None
batch_size = 512
lr = 0.02
wd = 0.02
beta1 = 0.9
beta2 = 0.99
epsilon = 1e-10
start_epoch = 0
checkpoint = None
gpu = 1
dist_url = tcp://localhost:23456
world_size = 1
rank = 0
print_freq = 200
result_dir = result
filter_name = 
seed = 2021
visualize = False
Compose(
    RandomCrop(size=(28, 28), padding=1)
    ToTensor()
    Normalize(mean=[0.1307], std=[0.3081])
)
SortMLPModel(
  (fc_dist): BoundSequential(
    (0): NormDist(
      in_features=784, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (1): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (2): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (3): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (4): NormDist(in_features=5120, out_features=10, bias=True)
  )
)
number of params:  82708491
Epoch 36:  train loss 0.0346   train acc 0.9827   worst 0.9410   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 10.93
Epoch 37:  train loss 0.0336   train acc 0.9837   worst 0.9418   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 11.06
Epoch 38:  train loss 0.0326   train acc 0.9837   worst 0.9429   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 10.94
Epoch 39:  train loss 0.0326   train acc 0.9839   worst 0.9430   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 10.95
Epoch 40:  train loss 0.0319   train acc 0.9845   worst 0.9435   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 11.11
Epoch 41:  train loss 0.0318   train acc 0.9841   worst 0.9453   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 11.52
Epoch 42:  train loss 0.0313   train acc 0.9846   worst 0.9453   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 10.89
Epoch 43:  train loss 0.0310   train acc 0.9849   worst 0.9458   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 11.33
Epoch 44:  train loss 0.0307   train acc 0.9849   worst 0.9465   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 10.92
Epoch 45:  train loss 0.0299   train acc 0.9857   worst 0.9472   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 11.31
