dataset = MNIST
model = SortMLPModel(depth=5,width=5120,scalar=True,dropout=0.7,identity_val=10.0)
loss = mixture(lam0=0.1,lam_end=0.001)
p_start = 8.0
p_end = 1000.0
eps_train = 0.3
eps_test = 0.1
eps_smooth = 0.4
epochs = 0,0,100,1450,1500
decays = None
batch_size = 512
lr = 0.02
wd = 0.02
beta1 = 0.9
beta2 = 0.99
epsilon = 1e-10
start_epoch = 0
checkpoint = None
gpu = 3
dist_url = tcp://localhost:23456
world_size = 1
rank = 0
print_freq = 200
result_dir = result
filter_name = 
seed = 2021
visualize = False
Compose(
    RandomCrop(size=(28, 28), padding=1)
    ToTensor()
    Normalize(mean=[0.1307], std=[0.3081])
)
SortMLPModel(
  (fc_dist): BoundSequential(
    (0): NormDist(
      in_features=784, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (1): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (2): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (3): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (4): NormDist(in_features=5120, out_features=10, bias=True)
  )
)
number of params:  82708491
Epoch 0:  train loss 0.9702   train acc 0.4360   worst 0.0580   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 8.84
Epoch 1:  train loss 0.7258   train acc 0.6717   worst 0.1303   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 8.62
Epoch 2:  train loss 0.5708   train acc 0.7554   worst 0.2528   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.02
Epoch 3:  train loss 0.4292   train acc 0.8019   worst 0.4346   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.08
Epoch 4:  train loss 0.3273   train acc 0.8410   worst 0.5803   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.30
Epoch 5:  train loss 0.2562   train acc 0.8713   worst 0.6800   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.69
Epoch 6:  train loss 0.2043   train acc 0.8981   worst 0.7419   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.84
Epoch 7:  train loss 0.1679   train acc 0.9179   worst 0.7854   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.93
Epoch 8:  train loss 0.1412   train acc 0.9320   worst 0.8155   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.82
Epoch 9:  train loss 0.1210   train acc 0.9435   worst 0.8385   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.95
Epoch 10:  train loss 0.1067   train acc 0.9492   worst 0.8576   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.84
Epoch 11:  train loss 0.0963   train acc 0.9541   worst 0.8693   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.73
