epoch	acc	certified
949	0.9971500039100647	0.9944999814033508
999	0.9968667030334473	0.9943000078201294
1049	0.9968667030334473	0.9943166971206665
1099	0.9970333576202393	0.9942166805267334
1149	0.9970000386238098	0.9944999814033508
1199	0.9969333410263062	0.9944166541099548
1249	0.9970833659172058	0.9945833683013916
1299	0.9970000386238098	0.9945999979972839
1349	0.9971666932106018	0.9950166940689087
1399	0.9969333410263062	0.9948333501815796
1449	0.9971166849136353	0.9951666593551636
1497	0.9968500137329102	0.9948333501815796
1498	0.9970166683197021	0.9948833584785461
1499	0.9969333410263062	0.994866669178009
