epoch	acc	certified
1849	0.7315399646759033	0.6336599588394165
1899	0.7354599833488464	0.6353399753570557
1949	0.7376599907875061	0.6425999999046326
1999	0.7393199801445007	0.6485199928283691
2049	0.7446999549865723	0.6561799645423889
2099	0.7473799586296082	0.6570000052452087
2149	0.7492799758911133	0.6616799831390381
2199	0.7487199902534485	0.6638999581336975
2249	0.7519399523735046	0.6680200099945068
2299	0.7558599710464478	0.671180009841919
2349	0.7538999915122986	0.6728399991989136
2399	0.7583400011062622	0.6759399771690369
2449	0.7608599662780762	0.6795600056648254
2499	0.7612400054931641	0.6815599799156189
2549	0.761199951171875	0.6852799654006958
2599	0.7607199549674988	0.6848799586296082
2649	0.762719988822937	0.6857999563217163
2699	0.7635999917984009	0.6864599585533142
2749	0.7653599977493286	0.689799964427948
2799	0.7650799751281738	0.6912399530410767
2849	0.7647799849510193	0.6899799704551697
2899	0.7661199569702148	0.690339982509613
2949	0.7669599652290344	0.6926999688148499
2997	0.7666400074958801	0.6924600005149841
2998	0.7667399644851685	0.6931399703025818
2999	0.7660599946975708	0.6937800049781799
