epoch	acc	certified
1849	0.5730599761009216	0.41468000411987305
1899	0.5790799856185913	0.42127999663352966
1949	0.5758799910545349	0.42141997814178467
1999	0.5798199772834778	0.42739999294281006
2049	0.5803799629211426	0.4316999912261963
2099	0.5801799893379211	0.43479999899864197
2149	0.5802199840545654	0.438620001077652
2199	0.5854600071907043	0.44279998540878296
2249	0.5849599838256836	0.44325998425483704
2299	0.5856199860572815	0.4467400014400482
2349	0.5859400033950806	0.4476199746131897
2399	0.5892199873924255	0.4505399763584137
2449	0.5868399739265442	0.45124000310897827
2499	0.5880799889564514	0.457179993391037
2549	0.5887199640274048	0.4556199908256531
2599	0.5895799994468689	0.45691999793052673
2649	0.5882999897003174	0.45753997564315796
2699	0.5898199677467346	0.46140000224113464
2749	0.5909199714660645	0.46449998021125793
2799	0.5905799865722656	0.4619799852371216
2849	0.5899999737739563	0.46219998598098755
2899	0.5873199701309204	0.46055999398231506
2949	0.5906800031661987	0.4633599817752838
2997	0.5877599716186523	0.4625599980354309
2998	0.5880599617958069	0.4626599848270416
2999	0.5890200138092041	0.4646199941635132
